Date,Open,High,Low,Close,Volume
2018-01-09,184.864,185.8,184.864,185.8,90579.383718969
2018-01-10,186.244,186.244,184.001,184.001,43222.354927336
2018-01-11,184.346,184.346,182.572,182.572,43658.54476091
2018-01-12,179.097,181.266,179.097,181.266,30287.804769424
2018-01-15,182.818,182.818,182.128,182.128,427506.61270099
2018-01-16,182.72,182.72,181.463,181.463,143539.93027959
2018-01-17,180.033,181.857,180.033,181.857,3516.9073325606
2018-01-18,181.487,181.487,180.255,180.255,7763.1646426554
2018-01-19,178.629,183.04,178.629,183.04,6021.4484932448
2018-01-22,181.389,182.498,181.389,182.498,25934.021593379
2018-01-23,184.272,184.272,183.336,183.336,29988.558255693
2018-01-24,182.769,182.769,181.833,181.833,50297.759785891
2018-01-25,180.921,180.921,178.604,178.604,80678.888891801
2018-01-26,181.906,181.906,180.329,180.329,37898.81016781
2018-01-29,179.935,179.935,179.59,179.59,46277.712552278
2018-01-30,180.083,180.083,179.467,179.467,17286.304544034
2018-01-31,182.375,182.375,180.231,180.231,42691.826362315
2018-02-01,181.216,181.216,178.604,178.604,8865.811966132
2018-02-02,178.629,178.801,178.629,178.801,75142.321190297
2018-02-05,175.573,175.573,174.759,174.759,51048.412057623
2018-02-06,171.063,171.063,169.485,169.485,99072.912734121
2018-02-07,171.777,173.379,171.777,173.379,95962.777781242
2018-02-08,172.517,172.517,168.719,168.719,26442.233469241
2018-02-09,171.531,171.531,170.982,170.982,289498.1781481
2018-02-12,172.517,174.442,172.517,174.442,154373.66847161
2018-02-13,177.446,177.446,173.059,173.059,30150.861449581
2018-02-14,173.379,173.379,173.083,173.083,123505.62978404
2018-02-15,175.474,175.474,172.393,172.393,109565.81421898
2018-02-16,172.911,174.414,172.911,174.414,56127.487631356
2018-02-19,174.735,174.735,172.665,172.665,17004.302744653
2018-02-20,172.566,172.679,172.566,172.679,68158.211878304
2018-02-21,173.083,173.083,171.974,171.974,72867.033290979
2018-02-22,170.225,173.256,170.225,173.256,9293.8866400116
2018-02-23,174.119,175.942,174.119,175.942,86326.025644142
2018-02-26,177.643,178.111,177.643,178.111,78365.053983935
2018-02-27,178.062,178.062,174.291,174.291,39879.923528205
2018-02-28,174.168,176.069,174.168,176.069,75626.187587075
2018-03-01,173.502,173.502,170.668,170.668,179986.1268621
2018-03-02,170.225,170.225,168.647,168.647,44750.033739807
2018-03-05,169.091,172.911,169.091,172.911,38640.332884886
2018-03-06,172.96,172.96,171.9,171.9,97427.564106081
2018-03-07,173.281,173.281,172.911,172.911,82600.15294945
2018-03-08,172.246,178.185,172.246,178.185,260820.21818305
2018-03-09,177.446,178.752,177.446,178.752,57080.004500486
2018-03-12,182.251,182.251,178.653,178.653,38986.241566859
2018-03-13,179.467,179.467,176.632,176.632,30618.497526971
2018-03-14,177.889,177.889,177.544,177.544,106008.33108795
2018-03-15,177.372,177.569,177.372,177.569,23836.252812376
2018-03-16,176.337,177.569,176.337,177.569,90665.607290722
2018-03-19,176.805,178.555,176.805,178.555,336491.03914845
2018-03-20,179.294,179.294,178.777,178.777,19735.053981819
2018-03-21,179.195,179.195,177.667,177.667,223645.68601797
2018-03-22,176.903,176.903,176.558,176.558,72489.67836519
2018-03-23,173.502,173.724,173.502,173.724,57620.677015125
2018-03-26,174.119,174.119,171.851,171.851,8873.9271258264
2018-03-27,170.545,172.738,170.545,172.738,25319.298246528
2018-03-28,171.063,179.048,171.063,179.048,41945.23167043
2018-03-29,180.28,181.142,180.28,181.142,94931.138105091
2018-04-03,178.21,180.871,178.21,180.871,681677.47190945
2018-04-04,182.251,183.508,182.251,183.508,20698.729195529
2018-04-05,185.332,188.043,185.332,188.043,74666.569953213
2018-04-06,183.977,187.057,182.375,187.057,33098.693208572
2018-04-09,187.304,187.304,187.156,187.156,277923.93163396
2018-04-10,186.318,188.364,186.318,188.364,88232.073777364
2018-04-11,189.694,189.694,187.994,187.994,46827.514621573
2018-04-12,187.304,187.304,187.304,187.304,163922.16824703
2018-04-13,189.473,189.473,188.339,188.339,202343.39182017
2018-04-16,186.515,188.166,186.515,188.166,18192.159244921
2018-04-17,189.103,191.074,189.103,191.074,39808.915880879
2018-04-18,188.832,188.832,188.413,188.413,219011.92983247
2018-04-19,187.353,187.575,187.353,187.575,46215.834459608
2018-04-20,187.181,188.364,187.181,188.364,88245.260911867
2018-04-23,185.899,188.561,185.899,188.561,109603.34683257
2018-04-24,186.663,189.226,186.663,189.226,85966.929827665
2018-04-25,186.762,187.624,186.762,187.624,107290.52631966
2018-04-26,188.265,189.768,188.265,189.768,172284.84031211
2018-04-27,187.304,193.638,187.304,193.638,59364.42195446
2018-04-30,192.208,196.324,192.208,196.324,3654.8650473654
2018-05-01,196.324,196.324,196.324,196.324,0
2018-05-02,196.151,196.151,192.504,192.504,997245.60057581
2018-05-03,192.405,192.948,192.405,192.948,285683.03869677
2018-05-04,193.219,195.486,193.219,195.486,110903.80117359
2018-05-08,196.077,196.743,196.077,196.743,80836.12011088
2018-05-09,194.919,196.915,194.919,196.915,53098.504275421
2018-05-10,198.123,198.493,198.123,198.493,3715473.117543
2018-05-11,198.986,198.986,197.31,197.31,68992.044536903
2018-05-14,197.162,198.788,197.162,198.788,132595.62303673
2018-05-15,197.26,199.281,197.26,199.281,694123.08369577
2018-05-16,198.665,199.479,198.665,199.479,681741.37879204
2018-05-17,197.827,200.563,197.827,200.563,78226.081874169
2018-05-18,200.489,201.647,200.489,201.647,54585.60728942
2018-05-21,201.598,203.027,201.598,203.027,11219.208277508
2018-05-22,202.066,202.83,202.066,202.83,30586.036888194
2018-05-23,200.095,203.717,200.095,203.717,28480.152947497
2018-05-24,203.939,203.939,203.422,203.422,14647.863248392
2018-05-25,199.133,203.816,199.133,203.816,37954.601890709
2018-05-29,198.665,204.457,198.665,204.457,52169.318490412
2018-05-30,204.136,204.136,204.112,204.112,25162.067027449
2018-05-31,203.841,203.841,202.485,202.485,80199.08007487
2018-06-01,203.274,204.063,203.274,204.063,60695.308144341
2018-06-04,203.742,205.393,203.742,205.393,18143.468286755
2018-06-05,205.048,206.281,205.048,206.281,19817.219973725
2018-06-06,203.471,203.471,200.908,200.908,41389.343231364
2018-06-07,201.918,201.918,201.154,201.154,50025.901936129
2018-06-08,199.331,202.929,199.331,202.929,42235.348629505
2018-06-11,204.605,205.196,204.605,205.196,406410.24068044
2018-06-12,206.108,206.108,203.717,203.717,56736.124608436
2018-06-13,204.58,206.576,204.58,206.576,483192.83852396
2018-06-14,206.872,208.844,206.872,208.844,31638.978858542
2018-06-15,210.963,210.963,210.224,210.224,244024.88080053
2018-06-18,208.844,208.844,205.985,205.985,182335.46559363
2018-06-19,202.066,205.098,202.066,205.098,31244.379218402
2018-06-20,202.066,206.675,202.066,206.675,15692.690059046
2018-06-21,205.615,205.615,203.865,203.865,11579.318488947
2018-06-22,206.01,206.182,206.01,206.182,42952.525867497
2018-06-25,203.841,203.841,203.323,203.323,16357.118759025
2018-06-26,202.633,204.605,202.633,204.605,97533.061182108
2018-06-27,207.02,207.02,205.738,205.738,45121.302295826
2018-06-28,206.01,206.01,204.703,204.703,39547.201980735
2018-06-29,207.316,208.252,207.316,208.252,23410.20692842
2018-07-02,204.136,206.379,204.136,206.379,23061.255061561
2018-07-03,207.217,208.696,207.217,208.696,26527.442646032
2018-07-04,208.351,208.351,207.858,207.858,14370.933423821
2018-07-05,208.844,208.844,204.112,204.112,261979.67162439
2018-07-06,202.608,202.732,202.608,202.732,26871.322538082
2018-07-09,203.077,203.816,203.077,203.816,54065.222674016
2018-07-10,202.066,204.802,202.066,204.802,20187.474134782
2018-07-11,204.58,205.443,204.58,205.443,285879.83131936
2018-07-12,197.556,207.858,197.556,207.858,43935.474585482
2018-07-13,208.055,208.055,207.168,207.168,50037.060280709
2018-07-16,207.316,207.316,206.675,206.675,5518.308592192
2018-07-17,207.907,207.907,207.611,207.611,12219.401709843
2018-07-18,208.154,208.154,207.168,207.168,9963.3873147996
2018-07-19,208.992,208.992,208.745,208.745,30861.952317803
2018-07-20,208.154,209.041,208.154,209.041,9228.9653624564
2018-07-23,208.154,208.154,205.591,205.591,22458.704454252
2018-07-24,206.576,206.576,206.379,206.379,29047.199731143
2018-07-25,207.414,207.414,204.703,204.703,63439.24651601
2018-07-26,207.71,207.71,206.083,206.083,44212.404410053
2018-07-27,200.095,202.929,200.095,202.929,105865.30139833
2018-07-30,200.193,204.309,200.193,204.309,49342.199731876
2018-07-31,207.513,207.513,207.069,207.069,13246.983806146
2018-08-01,208.252,208.252,206.675,206.675,11169.50292438
2018-08-02,205.344,207.069,205.344,207.069,71610.197933309
2018-08-03,207.907,209.337,207.907,209.337,27843.112911486
2018-08-06,209.682,209.682,209.041,209.041,190552.06478421
2018-08-07,210.717,210.717,210.717,210.717,21542.705803747
2018-08-08,210.52,210.52,209.337,209.337,20860.017994455
2018-08-09,206.01,207.562,206.01,207.562,62978.711203353
2018-08-10,205.812,205.812,202.584,202.584,14950.152947008
2018-08-13,202.066,203.619,202.066,203.619,21530.533064205
2018-08-14,207.513,207.513,205.443,205.443,16206.988304679
2018-08-15,205.245,205.245,199.873,199.873,29728.873145473
2018-08-16,201.672,201.746,201.672,201.746,32288.191634094
2018-08-17,199.331,200.169,199.331,200.169,13494.496176825
2018-08-20,201.204,202.535,201.204,202.535,52365.09671804
2018-08-21,202.362,203.225,202.362,203.225,21142.019793836
2018-08-22,202.263,203.126,202.263,203.126,28635.355376652
2018-08-23,206.01,206.01,204.506,204.506,31618.690959306
2018-08-24,204.334,204.334,204.013,204.013,24772.539362118
2018-08-27,204.063,204.624,204.063,204.624,6667.6180839114
2018-08-28,204.605,206.083,204.605,206.083,23780.461089477
2018-08-29,207.02,207.02,205.886,205.886,11574.246514138
2018-08-30,207.02,207.02,206.971,206.971,39590.820964092
2018-08-31,207.217,207.217,203.422,203.422,72745.305895563
2018-09-03,201.401,203.717,201.401,203.717,9626.608187482
2018-09-04,203.742,203.742,200.07,200.07,43893.884392048
2018-09-05,198.123,198.123,196.25,196.25,38190.955916808
2018-09-06,195.856,195.856,194.747,194.747,55880.989655638
2018-09-07,193.712,196.423,193.712,196.423,21208.969861314
2018-09-10,197.162,197.507,197.162,197.507,40635.647774746
2018-09-11,196.718,199.479,196.718,199.479,38387.748539397
2018-09-12,202.066,202.066,201.056,201.056,59955.814217189
2018-09-13,200.193,201.056,200.193,201.056,35873.063429095
2018-09-14,203.077,203.077,199.183,199.183,31295.098966492
2018-09-17,197.926,198.69,197.926,198.69,32905.95816583
2018-09-18,199.331,199.331,198.049,198.049,18860.645524747
2018-09-19,197.729,197.729,196.669,196.669,26667.42915076
2018-09-20,195.042,199.577,195.042,199.577,63777.04003829
2018-09-21,200.095,203.027,200.095,203.027,181341.35853106
2018-09-24,201.105,201.105,200.464,200.464,20863.061179341
2018-09-25,203.57,203.57,201.154,201.154,8902.3301847568
2018-09-26,202.263,202.83,202.263,202.83,6768.0431851296
2018-09-27,200.292,204.999,200.292,204.999,26805.386865565
2018-09-28,210.125,210.125,205.196,205.196,37189.748089512
2018-10-01,207.02,207.02,205.295,205.295,13115.112461112
2018-10-02,204.038,204.309,204.038,204.309,15428.947368978
2018-10-03,205.048,205.048,204.9,204.9,17572.363923261
2018-10-04,202.066,202.066,197.507,197.507,26683.659470149
2018-10-05,198.222,198.222,198.197,198.197,30923.830410473
2018-10-08,197.655,197.655,196.349,196.349,114638.80342294
2018-10-09,195.782,196.94,195.782,196.94,65610.051734262
2018-10-10,195.19,195.19,189.448,189.448,84025.377870779
2018-10-11,188.166,188.166,182.375,184.938,37543.77193118
2018-10-12,186.885,186.885,181.66,181.66,26184.577148943
2018-10-15,183.139,184.149,181.266,181.266,45407.361675053
2018-10-16,184.346,184.346,182.375,183.558,51977.597842632
2018-10-17,184.346,185.258,182.375,185.258,66456.057132403
2018-10-18,185.628,185.628,182.375,184.346,7053.0881693954
2018-10-19,184.544,188.758,184.544,188.758,81010.59604431
2018-10-22,195.19,195.19,188.906,188.906,104495.8681999
2018-10-23,179.417,187.895,179.417,187.895,42773.992354221
2018-10-24,187.55,187.55,187.353,187.353,20520.195682252
2018-10-25,186.762,189.818,182.375,189.818,78219.995504398
2018-10-26,187.353,187.353,185.061,185.061,38857.413406711
2018-10-29,186.367,186.367,182.375,185.505,20187.474134782
2018-10-30,184.864,184.864,182.375,183.927,70055.13045687
2018-10-31,194.722,196.546,194.722,196.546,147848.06568235
2018-11-01,193.219,196.965,193.219,196.965,191416.32929166
2018-11-02,198.665,198.788,198.665,198.788,77856.842108074
2018-11-05,193.219,198.887,193.219,198.887,177686.4934837
2018-11-06,202.461,202.461,200.366,200.366,59300.515071866
2018-11-07,202.066,202.066,200.76,200.76,71484.412958046
2018-11-08,202.066,202.066,200.563,200.563,109406.55420998
2018-11-09,201.401,202.732,201.401,202.732,169735.66577311
2018-11-12,202.165,202.436,202.165,202.436,22867.505623857
2018-11-13,204.58,205.738,204.58,205.738,27660.521818362
2018-11-14,206.01,206.01,204.408,204.408,149437.62258749
2018-11-15,207.02,207.02,203.717,203.717,39622.267207908
2018-11-16,201.869,204.753,201.869,204.753,24599.07782365
2018-11-19,205.615,205.615,202.436,202.436,27506.333784169
2018-11-20,199.133,201.549,199.133,201.549,30617.483132009
2018-11-21,204.703,204.703,203.323,203.323,23351.372020636
2018-11-22,202.83,202.83,202.337,202.337,80037.791275944
2018-11-23,201.771,203.915,201.771,203.915,34583.767432647
2018-11-26,204.038,204.038,201.943,201.943,65035.904185883
2018-11-27,203.077,204.9,203.077,204.9,36595.312641897
2018-11-28,202.263,204.408,202.263,204.408,29034.01259664
2018-11-29,206.01,206.01,205.591,205.591,28761.140351915
2018-11-30,205.048,205.048,204.851,204.851,111451.57445297
2018-12-03,210.027,210.027,209.386,209.386,40921.707153974
2018-12-04,208.548,209.83,208.548,209.83,33601.833109625
2018-12-05,206.774,206.774,206.281,206.281,10715.053981493
2018-12-06,205.245,205.245,199.577,199.577,30402.431400108
2018-12-07,204.802,204.802,203.816,203.816,64484.073326664
2018-12-10,204.235,204.235,203.323,203.323,76453.933875904
